kind,id,timeBase,timeFactor,icon
upgrade,0,4000,480,292
upgrade,1,4000,480,293
upgrade,2,4000,480,291
upgrade,3,4000,480,297
upgrade,4,4000,480,298
upgrade,5,4000,480,303
upgrade,6,4000,480,304
upgrade,7,4000,480,288
upgrade,8,4000,480,289
upgrade,9,4000,480,290
upgrade,10,4000,480,299
upgrade,11,4000,480,300
upgrade,12,4000,480,301
upgrade,13,4000,480,305
upgrade,14,4000,480,306
upgrade,15,4000,480,310
upgrade,16,1500,0,238
upgrade,17,1500,0,287
upgrade,18,2500,0,239
upgrade,19,2500,0,248
upgrade,20,2500,0,249
upgrade,21,2500,0,256
upgrade,22,2500,0,284
upgrade,23,2500,0,285
upgrade,24,2400,0,261
upgrade,25,2000,0,262
upgrade,26,2000,0,296
upgrade,27,1500,0,263
upgrade,28,1500,0,264
upgrade,29,1500,0,266
upgrade,30,1500,0,268
upgrade,31,2500,0,294
upgrade,32,2500,0,295
upgrade,33,2500,0,281
upgrade,34,2000,0,307
upgrade,35,2500,0,314
upgrade,36,2500,0,315
upgrade,37,2500,0,316
upgrade,38,2000,0,317
upgrade,39,2000,0,276
upgrade,40,2500,0,318
upgrade,41,2500,0,319
upgrade,42,2500,0,320
upgrade,43,1500,0,321
upgrade,44,2500,0,322
upgrade,45,0,0,0
upgrade,46,0,0,0
upgrade,47,2500,0,383
upgrade,48,2500,0,0
upgrade,49,2500,0,385
upgrade,50,2500,0,0
upgrade,51,2500,0,384
upgrade,52,2000,0,379
upgrade,53,2000,0,378
upgrade,54,2000,0,380
upgrade,55,0,0,0
upgrade,56,0,0,0
upgrade,57,0,0,0
upgrade,58,0,0,0
upgrade,59,0,0,0
upgrade,60,0,0,0
tech,0,1200,0,237
tech,1,1500,0,240
tech,2,1800,0,241
tech,3,1200,0,243
tech,4,0,0,250
tech,5,1200,0,245
tech,6,1500,0,247
tech,7,1200,0,242
tech,8,1800,0,251
tech,9,1500,0,252
tech,10,1200,0,252
tech,11,1200,0,259
tech,12,1200,0,313
tech,13,1200,0,40
tech,14,1200,0,270
tech,15,1500,0,265
tech,16,1500,0,302
tech,17,1200,0,267
tech,18,1200,0,271
tech,19,1800,0,275
tech,20,1200,0,277
tech,21,1800,0,280
tech,22,1500,0,278
tech,23,1500,0,68
tech,24,1200,0,366
tech,25,1200,0,369
tech,26,1800,0,0
tech,27,1800,0,371
tech,28,1800,0,63
tech,29,1800,0,372
tech,30,1800,0,373
tech,31,1500,0,381
tech,32,1800,0,376
tech,33,0,0,0
tech,34,0,0,365
tech,35,1800,0,0
tech,36,1800,0,0
tech,37,1800,0,0
tech,38,1800,0,0
tech,39,1800,0,0
tech,40,1800,0,0
tech,41,1800,0,0
tech,42,1800,0,0
tech,43,1800,0,0
